###################
#reaction branching ratio
H O2H HOOH 0.36
H O2H OH OH 0.57
H O2D HOOD 0.36
H O2D OD OH 0.57
D O2H HOOD 0.36
D O2H OD OH 0.57
D O2D DOOD 0.36
D O2D OD OD 0.57
H HOOH H2 O2H 0.5
H HOOH OH H2O 0.5
OH OH HOOH 0.8
OH OH H2O O 0.2
OH OD HOOD 0.8
OH OD HDO O 0.2
OD OD DOOD 0.8
OD OD D2O O 0.2


H CH3OH H2 CH3O 0.5
H CH3OH H2 CH2OH 0.5

H2 CHD CH3 H 0.25
H2 CHD CH2D D 0.75

D2 CHD CD3 H 0.25
D2 CHD CHD2 D 0.75

H2 CCD C2H2 D 0.33
H2 CCD C2HD H 0.67

HD CCH C2H2 D 0.33
HD CCH C2HD H 0.67 

D2 CCH C2HD D 0.67
D2 CCH C2D2 H 0.33

H2 l_C3D l_C3H2 D 0.33
H2 l_C3D l_C3HD H 0.67

H2 c_C3D c_C3H2 D 0.33
H2 c_C3D c_C3HD H 0.67

HD CCD C2HD D 0.67
HD CCD C2D2 H 0.33

D2 l_C3H l_C3HD D 0.67
D2 l_C3H l_C3D2 H 0.33

D2 c_C3H c_C3HD D 0.67
D2 c_C3H c_C3D2 H 0.33

HD CH2 CH3 D 0.25
HD CH2 CH2D H 0.75

HD C2 CD3 H 0.25
HD CD2 CHD2 D 0.75

HD CH3 CH4 D 0.2
HD CH3 CH3D H 0.8

HD CH2D CH2D2 H 0.6
HD CH2D CH3D D 0.4

H HOCO CO H2O 0.2
H HOCO HCOOH 0.1
H HOCO H2 CO2 0.7
D HOCO CO HDO 0.2
D HOCO HCOOD 0.1
D HOCO HD CO2 0.7
H DOCO CO HDO 0.2
H DOCO HCOOD 0.1
H DOCO HD CO2 0.7
D DOCO CO D2O 0.2
D DOCO DCOOD 0.1
D DOCO D2 CO2 0.7

O HCS H OCS 0.6
O HCS CO HS 0.4

O DCS D OCS 0.6
O DCS CO DS 0.4

S HCO H OCS 0.6
S HCO CO HS 0.4

S DCO D OCS 0.6
S DCO CO DS 0.4

OH HD HDO H 0.1
OH HD H2O D 0.9

OD HD HDO D 0.9
OD HD D2O H 0.9

HD NH2 NH3 D 0.9
HD NH2 NH2D H 0.1

