##################
#Enthalpy of formation, kJ/mol
#NIST, http://webbook.nist.gov/chemistry/form-ser/
H 216.034
D 222.
Hc 51.63

H2 0.0
D2 0e0
HD 0e0

O 249.18
O2 0.0
O3 142.67

OH 37.1
OD 36.6

CO -113.813
CO2 -393.14

H2O -240
D2O -250
HDO -245

O2H 15.2
O2D 15.2

HOOH -130
D2O2 -130.
DOOD -130.
HDO2 -130.
HOOD -130.

HCO 42
DCO 42

H2CO -105.322

CH3O 28.4
CH3OH -190.11
CH2DOH -190.11
CHD2OH -190.11
CH3OD -190.11
CH2DOD -190.11
CHD2OD -190.11
CD3OD -190.11
CD3OH -190.11

C 711.198
C2 822.39
CH 594.13
CD 594.13

CH2 390.7
CHD 390.7
CD2 390.7

CH3 150.0
CH2D 150.
CHD2 150.
CD3 150.

CH4 -66.6
CD4 -66.6
CH2D2 -66.6
CH3D -66.6
CHD3 -66.6

SiC 730.0
Si 448.3
SiN 402.48
SiO -101.58
SiS 104.69
SiO2 -320.72
c-SiC2 625.0
SiH 366.94
SiD 366.94
SiH2 275.0
SiHD 275.0
SiD2 275.0
SiH3 204.1
SiH4 44.319 

Na 107.763
NaH 126.21
NaD 126.21
NaOH -187.684
NaOD -187.684

F+ 1758.2

N 473.

CD2OD -10.7
CD2OH -10.7
CHDOH -10.7
CHDOD -10.7
CH2OH -10.7
CH2OD -10.7
CH2DO -10.7

CD3O  28.
CHD2O 28.

NH 376.
ND 376

NH2 190
ND2 190
NHD 190
# NHD is guess between the two tabulated values

NH3 -46
ND3 -46.
NH2D -46.
NHD2 -46


# https://www.chemeo.com # Usually links to NIST, but easier search
HCOOH -379.20
DCOOD -369.
DCOOH -374.
HCOOD -374.

HOCO 597.00
DOCO 592.00

#KIDA (from Burcat's polynomial)
H3+ 1112.89
H3O+ 603.417

F 77.274
HF -272.817
DF -272.817

Fe 413.128 
Fe+ 1181.144
He 0.0
S 274.925

# KIDA
C10 1665.0
C10H 1435.2
C10H2 1108.5
C11 1775.137 
CCH 563.945
CCD 563.945
CCN 679.07
CCO 374.8
CCS 608
CH2CCH 352.384
CH2CCD 352.384
CHDCCH 352.384
CHDCCD 352.384
CD2CCH 352.384
CD2CCD 352.384
CH2CHC2H 295.0
CH3CHCH2 35.014
CH2CHCHCH2 125.118 
CH2CHCN 190.874
CH3CCH 198.412 
CH3CH2OH -217.641
CH3COCH3 -199.39
CH3NH2 -5.83
H2CCN 260.54
HDCCN 260.54
D2CCN 260.54
H2CCO -45.46 
HDCCO -45.46 
D2CCO -45.46 
HCCNC 367.225
HCNCC 367.225
HNCCC 367.225
NC4N 528.6

Cl 119.63


Mg 145.9
MgH 230.317
MgD 230.317
# Kenji
#C10 420.890000

C2H2 226
C2HD 226
C2D2 226

C2H3 262.336800
C2D3 262.336800
C2H2D 262.336800
C2HD2 262.336800
C2H4 61.086400
C2H3D 61.086400
C2H2D2 61.086400
C2HD3 61.086400
C2D4 61.086400
C2H5 118.407200
C2H4D 118.407200
C2H3D 118.407200
C2H6 -68.199200
C2H5D -68.199200
C2H4D2 -68.199200

C3 836.800000
C3H4 199.576800
C3H3D 199.576800
C3H2D2 199.576800
C3N 690.360000
C3O 395.806400
C3S -4183.958160
C4 970.688000
C4H 799.604240
C4D 799.604240
C4H2 439.320000
C4HD 439.320000
C4D2 439.320000
C4H3 463.00144
C4H2D 463.00144
C4HD2 463.001440
C4N 790.776000
C4S -4183.958160

C5 1071.982640
C5H 943.701200
C5D 943.701200
C5H2 753.496560
C5HD 753.49656
C5D2 753.49656
C5H3 546.095680
C5H2D 546.095680
C5HD2 546.095680
C5H4 481.160000
C5H3D 481.160000
C5H2D2 481.160000
C5N 991.608000

C6 1271.015520
C6H 1020.017360
C6D 1020.017360
C6H2 648.520000
C6HD 648.520000
C6D2 648.520000
C6H3 675.213920
C6H2D 675.213920
C6HD2 675.213920
C6H4 514.632000
C6H3D 514.632000
C6H2D2 514.632000
C6H6 82.843200
C6H5D 82.843200
C6H4D2 82.843200

C7 1317.039520
C7H 1160.014000
C7D 1160.014000
C7H2 952.613120
C7HD 952.613120
