##############
#Binding energies for the substrates bare grain and water ice (K)
#(Tab.2 of Cazaux+2016 https://www.aanda.org/articles/aa/pdf/2016/01/aa27187-15.pdf)
#name Ebare/K Eice/K

#H 450 450 
H 500 500
D 521 521
H2 450 450
HD 450 450
D2 450 450
Hc 1e4 1e4
# Wakelam:
C 10000 10000
# Ruaud 2015
#C 4000 4000
C2 10000 10000
N 720 720
O 1600 1600
CO 1300 1300
CO2 2600 2600
O2 1200 1200
O3 2100 2100
N2 1100 1100
#NH3 1300 1300
NH3 5500 5500
OH 4600 4600
H2O 5600 5600
HOOH 6000 6000
H2CO 4500 4500
#H2CO 2050 2050
CH3OH 5000 5000
CH2OH 4400 4400
CH2OD 4400 4400


CH 925 925
CD 925 925
CH2 1400 1400
CHD 1400 1400
CD2 1400 1400
CH3 1600 1600
CH2D 1600 1600
CHD2 1600 1600
CD3 1600 1600

CH4 960 960
CD4 960 960
CH3D 960 960
CH2D2 960 960
CHD3 960 960

CH3OD 5000 5000
CH2DOH 5000 5000
CHD2OH 5000 5000
CH2DOD 5000 5000
CHD2OD 5000 5000

HDCO 4500 4500
D2CO 4500 4500

HCO 2400 2400
DCO 2400 2400

HOC 2400 2400
DOC 2400 2400

CHOH 4500 4500
CDOH 4500 4500
CHOD 4500 4500
CDOD 4500 4500

HDO 5600 5600
D2O 5600 5600

OD 4600 4600

O2H 5000 5000
O2D 5000 5000

HOOD 6000 6000
DOOH 6000 6000
DOOD 6000 6000

NH 2600 2600
ND 2600 2600

NH2 3200 3200
NHD 3200 3200
ND2 3200 3200

NH2D 5500 5500
NHD2 5500 5500
ND3 5500 5500

CH3O 4400 4400
CD3O 4400 4400
CHD2O 4400 4400
CD2OD 4400 4400
CH2DO 4400 4400
CD2OH 4400 4400
CHDOD 4400 4400
CHDOH 4400 4400

CD3OD 5000 5000
CD3OH 5000 5000

HCOOD 5570 5570
HCOOH 5570 5570 

DCOOD 5570 5570
DCOOH 5570 5570

#DOCO 5120 5120
#HOCO 5120 5120
DOCO 2000 2000
HOCO 2000 2000



Fe 4200 4200
FeH 4650 4650
FeD 4650 4650
He 100 100
S 2600 2600





C10 8000.0 8000.0
C2H2 2587.0 2587.0
C2HD 2587.0 2587.0
C2D2 2587.0 2587.0
C2H3 2800.0 2800.0
C2D3 2800.0 2800.0
C2H2D 2800.0 2800.0
C2HD2 2800.0 2800.0
C2H4 2500.0 2500.0
C2H3D 2500.0 2500.0
C2H2D2 2500.0 2500.0
C2HD3 2500.0 2500.0
C2D4 2500.0 2500.0
C2H5 3100.0 3100.0
C2H4D 3100.0 3100.0
C2H2D2 3100.0 3100.0
C2H6 1600.0 1600.0
C2H5D 1600.0 1600.0
C2H4D2 1600.0 1600.0
C2H3D3 1600.0 1600.0
C3 2400.0 2400.0
C3H4 3800.0 3800.0
C3H3D 3800.0 3800.0
C3H2D2 3800.0 3800.0
C3N 3200.0 3200.0
C3O 2750.0 2750.0
C3S 3500.0 3500.0
C4 3200.0 3200.0
C4H 3737.0 3737.0
C4D 3737.0 3737.0
C4H2 4187.0 4187.0
C4HD 4187.0 4187.0
C4D2 4187.0 4187.0
C4H3 4637.0 4637.
C4H2D 4637.0 4637.0
C4HD2 4637.0 4637.0
C4N 4000.0 4000.0
C4S 4300.0 4300.0
C5 4000.0 4000.0
C5H 4537.0 4537.0
C5D 4537.0 4537.0
C5H2 4987.0 4987.0
C5HD 4987.0 4987.0
C5D2 4987.0 4987.0
C5H3 5437.0 5437.0
C5H2D 5437.0 5437.0
C5HD2 5437.0 5437.0
C5H4 5887.0 5887.0
C5H3D 5887.0 5887.0
C5H2D2 5887.0 5887.0
C5N 4800.0 4800.0
C6 4800.0 4800.0
C6H 5337.0 5337.0
C6D 5337.0 5337.0
C6H2 5787.0 5787.0
C6HD 5787.0 5787.0
C6D2 5787.0 5787.0
C6H3 6237.0 6237.0
C6H2D 6237.0 6237.0
C6HD2 6237.0 6237.0
C6H4 6687.0 6687.0
C6H3D 6687.0 6687.0
C6H2D2 6687.0 6687.0
C6H6 7587.0 7587.0
C6H5D 7587.0 7587.
C6H4D2 7587.0 7587.
C7 5600.0 5600.0
C7H 6137.0 6137.0
C7D 6137.0 6137.0
C7H2 6587.0 6587.0
C7HD 6587.0 6587.0
C7D2 6587.0 6587.0
C7H3 7037.0 7037.0
C7H2D 7037.0 7037.0
C7HD2 7037.0 7037.0
C7H4 7487.0 7487.0
C7H3D 7487.0 7487.0
C7H2D2 7487.0 7487.0
C7N 6400.0 6400.0
C8 6400.0 6400.0
C8H 6937.0 6937.0
C8D 6937.0 6937.0
C8H2 7387.0 7387.0
C8HD 7387.0 7387.0
C8D2 7387.0 7387.0
C8H3 7837.0 7837.0
C8H2D 7837.0 7837.0
C8HD2 7837.0 7837.0
C8H4 8287.0 8287.0
C8H3D 8287.0 8287.0
C8H2D2 8287.0 8287.0
C9 7200.0 7200.0
C9H 7737.0 7737.0
C9D 7737.0 7737.0
C9H2 8187.0 8187.0
C9HD 8187.0 8187.0
C9D2 8187.0 8187.0
C9H3 8637.0 8637.0
C9H2D 8637.0 8637.0
C9HD2 8637.0 8637.0
C9H4 9087.0 9087.0
C9H3D 9087.0 9087.0
C9H2D2 9087.0 9087.0
C9N 8000.0 8000.0
CH2NH 5534.0 5534.0
CHDNH 5534.0 5534.0
CH2ND 5534.0 5534.0
CD2NH 5534.0 5534.0
CHDND 5534.0 5534.0
CD2ND 5534.0 5534.0

CH3N 5534.0 5534.0
CH2DN 5534.0 5534.0
CHD2N 5534.0 5534.0 
CD3N 5534.0 5534.0

#CH2NH 3428.0 3428.0
#CHDNH 3428.0 3428.0
#CH2ND 3428.0 3428.0
#CD2NH 3428.0 3428.0
#CHDND 3428.0 3428.0
#CD2ND 3428.0 3428.0
#CH2NH2 5006.0 5006.0
#CHDNH2 5006.0 5006.0
#CH2NHD 5006.0 5006.0
#CD2NH2 5006.0 5006.0
#CH2ND2 5006.0 5006.0
#CHDNHD 5006.0 5006.0
#CD2NHD 5006.0 5006.0
#CHDND2 5006.0 5006.0
CH2NH2 5534.0 5534.0
CHDNH2 5534.0 5534.0
CH2NHD 5534.0 5534.0
CD2NH2 5534.0 5534.0
CH2ND2 5534.0 5534.0
CHDNHD 5534.0 5534.0
CD2NHD 5534.0 5534.0
CHDND2 5534.0 5534.0
CD2ND2 5534.0 5534.0
CH3C3N 6480.0 6480.0
CH3C4H 5887.0 5887.0
CH3C5N 7880.0 7880.0
CH3C6H 7487.0 7487.0
CH3C7N 9480.0 9480.0
#CH3CHO 2450.0 2450.0
CH3CN 4680.0 4680.0
C2H3N 4680.0 4680.0
CD3CN 4680.0 4680.0
CH2DCN 4680.0 4680.0
CHD2CN 4680.0 4680.0
CH3OCH3 3150.0 3150.0
#CH4 1300.0 1300.0
CN 2800.0 2800.0
CS 3200.0 3200.0
H2CN 2400.0 2400.0
HDCN 2400.0 2400.0
D2CN 2400.0 2400.0
H2CS 4400.0 4400.0
HDCS 4400.0 4400.0
D2CS 4400.0 4400.0
H2S 2743.0 2743.0
HDS 2743.0 2743.0
D2S 2743.0 2743.0
HC2O 2400.0 2400.0
DC2O 2400.0 2400.0
HC3N 4580.0 4580.0
DC3N 4580.0 4580.0
HC5N 6180.0 6180.0
HC7N 7780.0 7780.0
HC9N 9380.0 9380.0
HCN 3700.0 3700.0
DCN 3700.0 3700.0
HCOOCH3 6295.0 6295.0
DCOOCH3 6295.0 6295.0
HCOOCH2D 6295.0 6295.0
DCOOCH2D 6295.0 6295.0
HCOOCHD2 6295.0 6295.0
DCOOCHD2 6295.0 6295.0
HCOOCD3 6295.0 6295.0
DCOOCD3 6295.0 6295.0

HCS 2900.0 2900.0
HCSi 3625.0 3625.0
DCSi 3625.0 3625.0
DCS 2900.0 2900.0
HNC 3800.0 3800.0
DNC 3800.0 3800.0
HNCO 4400.0 4400.0
DNCO 4400.0 4400.0
HNO 3000.0 3000.0
DNO 3000.0 3000.0
HS 2700.0 2700.0
DS 2700.0 2700.0
N2 1170.0 1170.0
N2O 2400.0 2400.0
#NH2CHO 5556.0 5556.0
#NHDCHO 5556.0 5556.0
#NH2CDO 5556.0 5556.0
#ND2CHO 5556.0 5556.0
#NHDCDO 5556.0 5556.0
#ND2CDO 5556.0 5556.0
NH2CHO 6300.0 6300.0
NHDCHO 6300.0 6300.0
NH2CDO 6300.0 6300.0
ND2CHO 6300.0 6300.0
NHDCDO 6300.0 6300.0
ND2CDO 6300.0 6300.0
NH2CN 5556.0 5556.0
NHDCN 5556.0 5556.0
ND2CN 5556.0 5556.0
NO 1600.0 1600.0
NO2 2400.0 2400.0
NS 1900.0 1900.0
OCN 2400.0 2400.0
OCS 2888.0 2888.0
S2 2200.0 2200.0
SO 2800.0 2800.0
SO2 3405.0 3405.0

# KIDA:
C10 8000.0 8000.0
C10H 8450.0 8450.0
C10D 8450.0 8450.0
C10H2 8550.0 8550.
C10HD 8550.0 8550.0
C10D2 8550.0 8550.
C10N 8800.0 8800.0
C11 9600 9600
C5O 4350 4350
C6N 5600 5600
C7O 5950 5950
C8N 7200 7200
C9O 7550 7550
CCH 3000 3000 
CCD 3000 3000 
CCN 2400 2400
CCO 1950 1950
CCS 2700 2700
CH3CHCH2 3100.0 3100.0
CH2CCH 3300 3300
CH2CCD 3300 3300
CHDCCD 3300 3300
CHDCCH 3300 3300
CD2CCH 3300 3300
CD2CCD 3300 3300

CH2CHC2H 5087 5087
CH2CHC2D 5087 5087
CH2CDC2H 5087 5087
CHDCHC2H 5087 5087
CH2CDC2D 5087 5087
CHDCHC2D 5087 5087
CHDCDC2H 5087 5087
CH2CHC2H 5087 5087
CD2CHC2H 5087 5087

CH2CHCHCH2 5987 5987
CH2CHCN 5480 5480
CH3CCH 3800 3800
CH3CH2OH 5400 5400
CH3COCH3 3500 3500

CH3NH2 6584 6584
CH3NHD 6584 6584
CH3ND2 6584 6584
CH2DNH2 6584 6584
CH2DNHD 6584 6584
CHD2NH2 6584 6584

CH3OCH2 3500 3500
CH3OCHD 3500 3500
CH2DOCH2 3500 3500
CH2DOCHD 3500 3500
CH2DOCD2 3500 3500
CHD2OCH2 3500 3500
CH3OCD2 3500 3500
CHD2OCH2 3500 3500
CHD2OCHD 3500 3500
CHD2OCD2 3500 3500
CD3OCH2 3500 3500
CD3OCHD 3500 3500
CD3OCD2 3500 3500


H2CCN 4230 4230
HDCCN 4230 4230
D2CCN 4230 4230

H2CCO 2800 2800
HDCCO 2800 2800
D2CCO 2800 2800

HC4N 5380 5380
DC4N 5380 5380

HC6N 7780 7780
DC6N 7780 7780

HC8N 9380 9380
DC8N 9380 9380

HCCNC 4580 4580
DCCNC 4580 4580

HCNCC 4580 4580
DCNCC 4580 4580

HNCCC 4580 4580
DNCCC 4580 4580

HSS 2650 2650
DSS 2650 2650

NC4N 4200 4200
NC6N 5800 5800
NC8N 7400 7400

C2S 2700.0 2700.0
C2O 1950.0 1950.0
CH2CO 2200.0 2200.0
C2N 2400.0 2400.0
N2H 1450.0 1450.0
N2D 1450.0 1450.0
HS2 2650.0 2650.0

Na 11800.0 11800.0
NaH 12250.0 12250.0
NaD 12250.0 12250.0
NaOH 14650.0 14650.0
NaOD 14650.0 14650.0

CCl 1900.0 1900.0
CCP 4300.0 4300.0
C4P 7500.0 7500.0

HON 3000.0 3000.0
DON 3000.0 3000.0
HPO 2350.0 2350.0
DPO 2350.0 2350.0
HCl 5174.0 5174.0
DCl 5174.0 5174.0
HCP 2350.0 2350.0
DCP 2350.0 2350.0
HCCP 4750.0 4750.0
DCCP 4750.0 4750.0
ClO 1900.0 1900.0

Cl 3000.0 3000.0
CP 1900.0 1900.0
CNH2 2400.0 2400.0
CHNH 2400.0 2400.0
CHD2 2400.0 2400.0
