##############
#Binding energies for the substrates bare grain and water ice (K)
#(Tab.2 of Cazaux+2016 https://www.aanda.org/articles/aa/pdf/2016/01/aa27187-15.pdf)
#name Ebare/K Eice/K

#H 450 450 
H 500 500
D 500 500
H2 450 450
HD 450 450
D2 450 450
Hc 1e4 1e4
# Wakelam:
C 10000 10000
# Ruaud 2015
#C 4000 4000
C2 10000 10000
N 720 720
O 1600 1600
CO 1300 1300
CO2 2600 2600
O2 1200 1200
O3 2100 2100
N2 1100 1100
#NH3 1300 1300
NH3 5500 5500
OH 4600 4600
H2O 5600 5600
HOOH 6000 6000
H2CO 4500 4500
#H2CO 2050 2050
CH3OH 5000 5000
CH2OH 4400 4400


CH 925 925
CD 925 925
CH2 1400 1400
CHD 1400 1400
CD2 1400 1400
CH3 1600 1600
CH2D 1600 1600
CHD2 1600 1600
CD3 1600 1600

CH4 960 960
CD4 960 960
CH3D 960 960
CH2D2 960 960
CHD3 960 960

CH3OD 5000 5000
CH2DOH 5000 5000
CHD2OH 5000 5000
CH2DOD 5000 5000
CHD2OD 5000 5000

HDCO 4500 4500
D2CO 4500 4500

HCO 2400 2400
DCO 2400 2400

HDO 5600 5600
D2O 5600 5600

OD 4600 4600

O2H 5000 5000
O2D 5000 5000

HOOD 6000 6000
DOOD 6000 6000

NH 2600 2600
ND 2600 2600

NH2 3200 3200
NHD 3200 3200
ND2 3200 3200

NH2D 5500 5500
NHD2 5500 5500
ND3 5500 5500

CH3O 4400 4400
CD3O 4400 4400
CHD2O 4400 4400
CD2OD 4400 4400
CH2DO 4400 4400
CD2OH 4400 4400
CHDOD 4400 4400
CHDOH 4400 4400

CD3OD 5000 5000
CD3OH 5000 5000

HCOOD 5570 5570
HCOOH 5570 5570 

DCOOD 5570 5570
DCOOH 5570 5570

#DOCO 5120 5120
#HOCO 5120 5120
DOCO 2000 2000
HOCO 2000 2000



Fe 4200 4200
FeH 4650 4650
FeD 4650 4650
He 100 100
S 2600 2600





C10 8000.000000 8000.000000
C2H2 2587.000000 2587.000000
C2HD 2587.000000 2587.000000
C2D2 2587.000000 2587.000000
C2H3 2800.000000 2800.000000
C2D3 2800.000000 2800.000000
C2H2D 2800.000000 2800.000000
C2HD2 2800.000000 2800.000000
C2H4 2500.000000 2500.000000
C2H3D 2500.000000 2500.000000
C2H2D2 2500.000000 2500.000000
C2HD3 2500.000000 2500.000000
C2D4 2500.000000 2500.000000
C2H5 3100.000000 3100.000000
C2H6 1600.000000 1600.000000
C3 2400.000000 2400.000000
C3H4 3800.000000 3800.000000
C3N 3200.000000 3200.000000
C3O 2750.000000 2750.000000
C3S 3500.000000 3500.000000
C4 3200.000000 3200.000000
C4H 3737.000000 3737.000000
C4D 3737.000000 3737.000000
C4H2 4187.000000 4187.000000
C4HD 4187.000000 4187.000000
C4D2 4187.000000 4187.000000
C4H3 4637.000000 4637.000000
C4N 4000.000000 4000.000000
C4S 4300.000000 4300.000000
C5 4000.000000 4000.000000
C5H 4537.000000 4537.000000
C5D 4537.000000 4537.000000
C5H2 4987.000000 4987.000000
C5H3 5437.000000 5437.000000
C5H4 5887.000000 5887.000000
C5N 4800.000000 4800.000000
C6 4800.000000 4800.000000
C6H 5337.000000 5337.000000
C6H2 5787.000000 5787.000000
C6H3 6237.000000 6237.000000
C6H4 6687.000000 6687.000000
C6H6 7587.000000 7587.000000
C7 5600.000000 5600.000000
C7H 6137.000000 6137.000000
C7H2 6587.000000 6587.000000
C7H3 7037.000000 7037.000000
C7H4 7487.000000 7487.000000
C7N 6400.000000 6400.000000
C8 6400.000000 6400.000000
C8H 6937.000000 6937.000000
C8H2 7387.000000 7387.000000
C8H3 7837.000000 7837.000000
C8H4 8287.000000 8287.000000
C9 7200.000000 7200.000000
C9H 7737.000000 7737.000000
C9H2 8187.000000 8187.000000
C9H3 8637.000000 8637.000000
C9H4 9087.000000 9087.000000
C9N 8000.000000 8000.000000
CH2NH 5534.0 5534.0
CHDNH 5534.0 5534.0
CH2ND 5534.0 5534.0
CD2NH 5534.0 5534.0
CHDND 5534.0 5534.0
CD2ND 5534.0 5534.0
#CH2NH 3428.000000 3428.000000
#CHDNH 3428.000000 3428.000000
#CH2ND 3428.000000 3428.000000
#CD2NH 3428.000000 3428.000000
#CHDND 3428.000000 3428.000000
#CD2ND 3428.000000 3428.000000
#CH2NH2 5006.000000 5006.000000
#CHDNH2 5006.000000 5006.000000
#CH2NHD 5006.000000 5006.000000
#CD2NH2 5006.000000 5006.000000
#CH2ND2 5006.000000 5006.000000
#CHDNHD 5006.000000 5006.000000
#CD2NHD 5006.000000 5006.000000
#CHDND2 5006.000000 5006.000000
CH2NH2 5534.0 5534.0
CHDNH2 5534.0 5534.0
CH2NHD 5534.0 5534.0
CD2NH2 5534.0 5534.0
CH2ND2 5534.0 5534.0
CHDNHD 5534.0 5534.0
CD2NHD 5534.0 5534.0
CHDND2 5534.0 5534.0
CD2ND2 5534.0 5534.0
CH3C3N 6480.000000 6480.000000
